electronic_weight,mass_weight
761,0
765,0
872,0
23567,27
23565,27
23593,27.1
22069,25.2
22068,25.2
22042,25.2
22054,25.3
22051,25.2
19012,21.6
19005,21.6
16695,18.8
14393,16.2
14384,16.2
14368,16.2
14403,16.2
14390,16.2
14410,16.2
14423,16.2
23547,27
17400,19.8
23471,27
21179,24.3
21180,24.3
18888,21.6
15113,17.1
14347,16.2
14354,16.2
12813,14.4
18907,21.6
18905,21.6
18888,21.6
18902,21.6
18906,21.6
15883,18
9756,10.9
9759,10.8
9744,10.8
9766,10.8
9763,10.8
9752,10.8
8241,9
23490,27
23480,27
23471,27
23467,27
23496,27
